status,suite,case,config,note
rust-skip,compiler,accessorInAmbientContextES5.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,accessorInAmbientContextES5.ts,target=es2015,
rust-diff,compiler,accessorInferredReturnTypeErrorInReturnStatement.ts,,
rust-skip,compiler,accessorParameterAccessibilityModifier.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,accessorParameterAccessibilityModifier.ts,target=es2015,
rust-skip,compiler,accessorWithInitializer.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,accessorWithInitializer.ts,target=es2015,
rust-skip,compiler,accessorWithLineTerminator.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,accessorWithLineTerminator.ts,target=es2015,
rust-skip,compiler,accessorWithRestParam.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,accessorWithRestParam.ts,target=es2015,
rust-skip,compiler,accessorWithoutBody1.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,accessorWithoutBody1.ts,target=es2015,
rust-skip,compiler,accessorWithoutBody2.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,accessorWithoutBody2.ts,target=es2015,
rust-pass,compiler,accessorsEmit.ts,,
rust-skip,compiler,accessorsInAmbientContext.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,accessorsInAmbientContext.ts,target=es2015,
rust-pass,compiler,accessors_spec_section-4.5_error-cases.ts,,
rust-pass,compiler,accessors_spec_section-4.5_inference.ts,,
rust-pass,compiler,addMoreCallSignaturesToBaseSignature.ts,,
rust-pass,compiler,addMoreCallSignaturesToBaseSignature2.ts,,
rust-pass,compiler,addMoreOverloadsToBaseSignature.ts,,
rust-pass,compiler,aliasAssignments.ts,,
rust-pass,compiler,aliasBug.ts,,
rust-pass,compiler,aliasDoesNotDuplicateSignatures.ts,,
rust-pass,compiler,aliasErrors.ts,,
rust-pass,compiler,aliasInaccessibleModule.ts,,
rust-pass,compiler,aliasInaccessibleModule2.ts,,
rust-diff,compiler,aliasInstantiationExpressionGenericIntersectionNoCrash1.ts,,
rust-diff,compiler,aliasInstantiationExpressionGenericIntersectionNoCrash2.ts,,
rust-pass,compiler,aliasOfGenericFunctionWithRestBehavedSameAsUnaliased.ts,,
rust-pass,compiler,aliasOnMergedModuleInterface.ts,,
rust-skip,compiler,aliasUsageInAccessorsOfClass.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,aliasUsageInAccessorsOfClass.ts,target=es2015,
rust-pass,compiler,aliasUsageInArray.ts,,
rust-pass,compiler,aliasUsageInFunctionExpression.ts,,
rust-pass,compiler,aliasUsageInGenericFunction.ts,,
rust-pass,compiler,aliasUsageInIndexerOfClass.ts,,
rust-pass,compiler,aliasUsageInObjectLiteral.ts,,
rust-pass,compiler,aliasUsageInOrExpression.ts,,
rust-pass,compiler,aliasUsageInTypeArgumentOfExtendsClause.ts,,
rust-pass,compiler,aliasUsageInVarAssignment.ts,,
rust-pass,compiler,aliasUsedAsNameValue.ts,,
rust-pass,compiler,aliasWithInterfaceExportAssignmentUsedInVarInitializer.ts,,
rust-skip,compiler,aliasesInSystemModule1.ts,,module=System not supported
rust-skip,compiler,aliasesInSystemModule2.ts,,module=System not supported
rust-pass,compiler,allowImportClausesToMergeWithTypes.ts,,
rust-skip,compiler,allowJsClassThisTypeCrash.ts,,allowJs not supported
rust-diff,compiler,allowJsCrossMonorepoPackage.ts,,
rust-skip,compiler,allowJscheckJsTypeParameterNoCrash.ts,,allowJs not supported
rust-pass,compiler,allowSyntheticDefaultImports1.ts,,
rust-pass,compiler,allowSyntheticDefaultImports10.ts,,
rust-skip,compiler,allowSyntheticDefaultImports2.ts,,module=System not supported
rust-skip,compiler,allowSyntheticDefaultImports3.ts,,module=System not supported
rust-pass,compiler,allowSyntheticDefaultImports4.ts,,
rust-skip,compiler,allowSyntheticDefaultImports5.ts,,module=System not supported
rust-skip,compiler,allowSyntheticDefaultImports6.ts,,module=System not supported
rust-skip,compiler,allowSyntheticDefaultImports7.ts,,module=System not supported
rust-skip,compiler,allowSyntheticDefaultImports8.ts,,module=System not supported
rust-diff,compiler,allowSyntheticDefaultImports9.ts,,
rust-pass,compiler,allowSyntheticDefaultImportsCanPaintCrossModuleDeclaration.ts,,
rust-pass,compiler,alwaysStrict.ts,,
rust-pass,compiler,alwaysStrictAlreadyUseStrict.ts,,
rust-pass,compiler,alwaysStrictES6.ts,,
rust-pass,compiler,alwaysStrictModule.ts,,
rust-skip,compiler,alwaysStrictModule2.ts,,outFile not supported
rust-pass,compiler,alwaysStrictModule3.ts,,
rust-pass,compiler,alwaysStrictModule4.ts,,
rust-pass,compiler,alwaysStrictModule5.ts,,
rust-skip,compiler,alwaysStrictModule6.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,alwaysStrictModule6.ts,target=es2015,
rust-pass,compiler,ambientClassDeclarationWithExtends.ts,,
rust-pass,compiler,ambientClassDeclaredBeforeBase.ts,,
rust-pass,compiler,ambientClassMergesOverloadsWithInterface.ts,,
rust-pass,compiler,ambientClassOverloadForFunction.ts,,
rust-pass,compiler,ambientConstLiterals.ts,,
rust-pass,compiler,ambientEnum1.ts,,
rust-pass,compiler,ambientEnumElementInitializer1.ts,,
rust-pass,compiler,ambientEnumElementInitializer2.ts,,
rust-pass,compiler,ambientEnumElementInitializer3.ts,,
rust-pass,compiler,ambientEnumElementInitializer4.ts,,
rust-pass,compiler,ambientEnumElementInitializer5.ts,,
rust-pass,compiler,ambientEnumElementInitializer6.ts,,
rust-pass,compiler,ambientErrors1.ts,,
rust-skip,compiler,ambientExportDefaultErrors.ts,,unrecognized option(s): nouncheckedsideeffectimports
rust-pass,compiler,ambientExternalModuleInAnotherExternalModule.ts,,
rust-pass,compiler,ambientExternalModuleReopen.ts,,
rust-skip,compiler,ambientExternalModuleWithInternalImportDeclaration.ts,,module=AMD not supported
rust-pass,compiler,ambientExternalModuleWithRelativeExternalImportDeclaration.ts,,
rust-pass,compiler,ambientExternalModuleWithRelativeModuleName.ts,,
rust-skip,compiler,ambientExternalModuleWithoutInternalImportDeclaration.ts,,module=AMD not supported
rust-pass,compiler,ambientFundule.ts,,
rust-skip,compiler,ambientGetters.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,ambientGetters.ts,target=es2015,
rust-pass,compiler,ambientModuleExports.ts,,
rust-pass,compiler,ambientModuleWithClassDeclarationWithExtends.ts,,
rust-pass,compiler,ambientModuleWithTemplateLiterals.ts,,
rust-pass,compiler,ambientModules.ts,,
rust-pass,compiler,ambientNameRestrictions.ts,,
rust-skip,compiler,ambientPropertyDeclarationInJs.ts,,allowJs not supported
rust-skip,compiler,ambientRequireFunction.ts,module=commonjs,allowJs not supported
rust-skip,compiler,ambientRequireFunction.ts,module=preserve,allowJs not supported
rust-pass,compiler,ambientStatement1.ts,,
rust-skip,compiler,ambientWithStatements.ts,alwaysstrict=true,unrecognized option(s): ignoredeprecations
rust-skip,compiler,ambientWithStatements.ts,alwaysstrict=false,unrecognized option(s): ignoredeprecations
rust-pass,compiler,ambiguousCallsWhereReturnTypesAgree.ts,,
rust-diff,compiler,ambiguousGenericAssertion1.ts,,
rust-pass,compiler,ambiguousOverload.ts,,
rust-pass,compiler,ambiguousOverloadResolution.ts,,
rust-skip,compiler,amdDeclarationEmitNoExtraDeclare.ts,,module=AMD not supported
rust-pass,compiler,amdDependencyComment1.ts,,
rust-skip,compiler,amdDependencyComment2.ts,,module=AMD not supported
rust-pass,compiler,amdDependencyCommentName1.ts,,
rust-skip,compiler,amdDependencyCommentName2.ts,,module=AMD not supported
rust-skip,compiler,amdDependencyCommentName3.ts,,module=AMD not supported
rust-skip,compiler,amdDependencyCommentName4.ts,,module=AMD not supported
rust-skip,compiler,amdLikeInputDeclarationEmit.ts,,allowJs not supported
rust-skip,compiler,amdModuleBundleNoDuplicateDeclarationEmitComments.ts,,module=AMD not supported
rust-skip,compiler,amdModuleConstEnumUsage.ts,,module=AMD not supported
rust-skip,compiler,amdModuleName1.ts,,module=AMD not supported
rust-skip,compiler,amdModuleName2.ts,,module=AMD not supported
rust-pass,compiler,anonClassDeclarationEmitIsAnon.ts,,
rust-pass,compiler,anonterface.ts,,
rust-pass,compiler,anonymousClassDeclarationDoesntPrintWithReadonly.ts,,
rust-pass,compiler,anonymousClassExpression1.ts,,
rust-pass,compiler,anonymousClassExpression2.ts,,
rust-pass,compiler,anonymousModules.ts,,
rust-pass,compiler,anyAndUnknownHaveFalsyComponents.ts,,
rust-pass,compiler,anyAsReturnTypeForNewOnCall.ts,,
rust-pass,compiler,anyDeclare.ts,,
rust-pass,compiler,anyIdenticalToItself.ts,,
rust-pass,compiler,anyIndexedAccessArrayNoException.ts,,
rust-pass,compiler,anyInferenceAnonymousFunctions.ts,,
rust-pass,compiler,anyIsAssignableToObject.ts,,
rust-pass,compiler,anyIsAssignableToVoid.ts,,
rust-pass,compiler,anyMappedTypesError.ts,,
rust-pass,compiler,anyPlusAny1.ts,,
rust-pass,compiler,argsInScope.ts,,
rust-pass,compiler,arguments.ts,,
rust-pass,compiler,argumentsAsPropertyName.ts,,
rust-pass,compiler,argumentsAsPropertyName2.ts,,
rust-skip,compiler,argumentsBindsToFunctionScopeArgumentList.ts,alwaysstrict=true,unrecognized option(s): ignoredeprecations
rust-skip,compiler,argumentsBindsToFunctionScopeArgumentList.ts,alwaysstrict=false,unrecognized option(s): ignoredeprecations
rust-skip,compiler,argumentsObjectCreatesRestForJs.ts,,allowJs not supported
rust-skip,compiler,argumentsObjectIterator01_ES5.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,argumentsObjectIterator01_ES5.ts,target=es2015,
rust-pass,compiler,argumentsObjectIterator01_ES6.ts,,
rust-skip,compiler,argumentsObjectIterator02_ES5.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,argumentsObjectIterator02_ES5.ts,target=es2015,
rust-pass,compiler,argumentsObjectIterator02_ES6.ts,,
rust-skip,compiler,argumentsObjectIterator03_ES5.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,argumentsObjectIterator03_ES5.ts,target=es2015,
rust-pass,compiler,argumentsObjectIterator03_ES6.ts,,
rust-skip,compiler,argumentsPropertyNameInJsMode1.ts,,allowJs not supported
rust-skip,compiler,argumentsPropertyNameInJsMode2.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInConstructor1_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInConstructor2_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInConstructor3_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInConstructor4_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInConstructor5_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInConstructor6_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInConstructor7_Js.ts,,allowJs not supported
rust-diff,compiler,argumentsReferenceInFunction1_Js.ts,,
rust-skip,compiler,argumentsReferenceInMethod1_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInMethod2_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInMethod3_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInMethod4_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInMethod5_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInMethod6_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInMethod7_Js.ts,,allowJs not supported
rust-skip,compiler,argumentsReferenceInObjectLiteral_Js.ts,alwaysstrict=true,unrecognized option(s): ignoredeprecations
rust-skip,compiler,argumentsReferenceInObjectLiteral_Js.ts,alwaysstrict=false,unrecognized option(s): ignoredeprecations
rust-skip,compiler,argumentsSpreadRestIterables.tsx,target=es5,target=ES5 (ES5 down-level) not supported
rust-diff,compiler,argumentsSpreadRestIterables.tsx,target=esnext,
rust-pass,compiler,argumentsUsedInClassFieldInitializerOrStaticInitializationBlock.ts,,
rust-pass,compiler,argumentsUsedInObjectLiteralProperty.ts,,
rust-pass,compiler,arithAssignTyping.ts,,
rust-pass,compiler,arithmeticOnInvalidTypes.ts,,
rust-pass,compiler,arithmeticOnInvalidTypes2.ts,,
rust-pass,compiler,arityErrorRelatedSpanBindingPattern.ts,,
rust-pass,compiler,arrayAssignmentTest1.ts,,
rust-pass,compiler,arrayAssignmentTest2.ts,,
rust-pass,compiler,arrayAssignmentTest3.ts,,
rust-pass,compiler,arrayAssignmentTest4.ts,,
rust-pass,compiler,arrayAssignmentTest5.ts,,
rust-pass,compiler,arrayAssignmentTest6.ts,,
rust-pass,compiler,arrayAugment.ts,,
rust-diff,compiler,arrayBestCommonTypes.ts,,
rust-pass,compiler,arrayBindingPatternOmittedExpressions.ts,,
rust-pass,compiler,arrayBufferIsViewNarrowsType.ts,,
rust-diff,compiler,arrayCast.ts,,
rust-pass,compiler,arrayConcat2.ts,,
rust-pass,compiler,arrayConcat3.ts,,
rust-diff,compiler,arrayConcatMap.ts,,
rust-pass,compiler,arrayConstructors1.ts,,
rust-diff,compiler,arrayDestructuringInSwitch1.ts,,
rust-diff,compiler,arrayDestructuringInSwitch2.ts,,
rust-pass,compiler,arrayEvery.ts,,
rust-diff,compiler,arrayFakeFlatNoCrashInferenceDeclarations.ts,,
rust-pass,compiler,arrayFilter.ts,,
rust-diff,compiler,arrayFind.ts,,
rust-pass,compiler,arrayFlatMap.ts,,
rust-pass,compiler,arrayFlatNoCrashInference.ts,,
rust-pass,compiler,arrayFlatNoCrashInferenceDeclarations.ts,,
rust-diff,compiler,arrayFrom.ts,,
rust-diff,compiler,arrayFromAsync.ts,,
rust-pass,compiler,arrayIndexWithArrayFails.ts,,
rust-skip,compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=true,target=es5",target=ES5 (ES5 down-level) not supported
rust-skip,compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=false,target=es5",target=ES5 (ES5 down-level) not supported
rust-diff,compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=true,target=es2015",
rust-diff,compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=false,target=es2015",
rust-diff,compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=true,target=esnext",
rust-diff,compiler,arrayIterationLibES5TargetDifferent.ts,"nolib=false,target=esnext",
rust-pass,compiler,arrayLiteral1.ts,,
rust-pass,compiler,arrayLiteral2.ts,,
rust-pass,compiler,arrayLiteralAndArrayConstructorEquivalence1.ts,,
rust-pass,compiler,arrayLiteralComments.ts,,
rust-pass,compiler,arrayLiteralContextualType.ts,,
rust-pass,compiler,arrayLiteralInNonVarArgParameter.ts,,
rust-pass,compiler,arrayLiteralTypeInference.ts,,
rust-pass,compiler,arrayOfExportedClass.ts,,
rust-diff,compiler,arrayOfSubtypeIsAssignableToReadonlyArray.ts,,
rust-pass,compiler,arrayReferenceWithoutTypeArgs.ts,,
rust-diff,compiler,arraySigChecking.ts,,
rust-pass,compiler,arraySlice.ts,,
rust-pass,compiler,arrayToLocaleStringES2015.ts,,
rust-diff,compiler,arrayToLocaleStringES2020.ts,,
rust-skip,compiler,arrayToLocaleStringES5.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,arrayToLocaleStringES5.ts,target=es2015,
rust-pass,compiler,arrayTypeInSignatureOfInterfaceAndClass.ts,,
rust-pass,compiler,arrayconcat.ts,,
rust-skip,compiler,arrowExpressionBodyJSDoc.ts,,allowJs not supported
rust-skip,compiler,arrowExpressionJs.ts,,allowJs not supported
rust-diff,compiler,arrowFunctionErrorSpan.ts,,
rust-pass,compiler,arrowFunctionInConstructorArgument1.ts,,
rust-pass,compiler,arrowFunctionInExpressionStatement1.ts,,
rust-pass,compiler,arrowFunctionInExpressionStatement2.ts,,
rust-skip,compiler,arrowFunctionJSDocAnnotation.ts,,allowJs not supported
rust-pass,compiler,arrowFunctionMissingCurlyWithSemicolon.ts,,
rust-pass,compiler,arrowFunctionParsingDoesNotConfuseParenthesizedObjectForArrowHead.ts,,
rust-diff,compiler,arrowFunctionParsingGenericInObject.ts,,
rust-pass,compiler,arrowFunctionWithObjectLiteralBody1.ts,,
rust-pass,compiler,arrowFunctionWithObjectLiteralBody2.ts,,
rust-pass,compiler,arrowFunctionWithObjectLiteralBody3.ts,,
rust-pass,compiler,arrowFunctionWithObjectLiteralBody4.ts,,
rust-pass,compiler,arrowFunctionWithObjectLiteralBody5.ts,,
rust-pass,compiler,arrowFunctionWithObjectLiteralBody6.ts,,
rust-diff,compiler,arrowFunctionsMissingTokens.ts,,
rust-pass,compiler,asiAbstract.ts,,
rust-pass,compiler,asiAmbientFunctionDeclaration.ts,,
rust-pass,compiler,asiArith.ts,,
rust-pass,compiler,asiBreak.ts,,
rust-pass,compiler,asiContinue.ts,,
rust-pass,compiler,asiInES6Classes.ts,,
rust-skip,compiler,asiPublicPrivateProtected.ts,alwaysstrict=true,unrecognized option(s): ignoredeprecations
rust-skip,compiler,asiPublicPrivateProtected.ts,alwaysstrict=false,unrecognized option(s): ignoredeprecations
rust-pass,compiler,asiReturn.ts,,
rust-pass,compiler,assertInWrapSomeTypeParameter.ts,,
rust-pass,compiler,assertionFunctionWildcardImport1.ts,,
rust-pass,compiler,assertionFunctionWildcardImport2.ts,,
rust-diff,compiler,assertionFunctionsCanNarrowByDiscriminant.ts,,
rust-pass,compiler,assign1.ts,,
rust-diff,compiler,assignLambdaToNominalSubtypeOfFunction.ts,,
rust-pass,compiler,assignToEnum.ts,,
rust-pass,compiler,assignToExistingClass.ts,,
rust-pass,compiler,assignToFn.ts,,
rust-pass,compiler,assignToInvalidLHS.ts,,
rust-pass,compiler,assignToModule.ts,,
rust-pass,compiler,assignToObjectTypeWithPrototypeProperty.ts,,
rust-pass,compiler,assignToPrototype1.ts,,
rust-diff,compiler,assigningFromObjectToAnythingElse.ts,,
rust-pass,compiler,assigningFunctionToTupleIssuesError.ts,,
rust-pass,compiler,assignmentCompat1.ts,,
rust-diff,compiler,assignmentCompatBug2.ts,,
rust-pass,compiler,assignmentCompatBug3.ts,,
rust-pass,compiler,assignmentCompatBug5.ts,,
rust-pass,compiler,assignmentCompatForEnums.ts,,
rust-diff,compiler,assignmentCompatFunctionsWithOptionalArgs.ts,,
rust-diff,compiler,assignmentCompatInterfaceWithStringIndexSignature.ts,,
rust-pass,compiler,assignmentCompatOnNew.ts,,
rust-diff,compiler,assignmentCompatWithOverloads.ts,,
rust-pass,compiler,assignmentCompatability1.ts,,
rust-diff,compiler,assignmentCompatability10.ts,,
rust-pass,compiler,assignmentCompatability11.ts,,
rust-pass,compiler,assignmentCompatability12.ts,,
rust-pass,compiler,assignmentCompatability13.ts,,
rust-pass,compiler,assignmentCompatability14.ts,,
rust-pass,compiler,assignmentCompatability15.ts,,
rust-pass,compiler,assignmentCompatability16.ts,,
rust-pass,compiler,assignmentCompatability17.ts,,
rust-pass,compiler,assignmentCompatability18.ts,,
rust-pass,compiler,assignmentCompatability19.ts,,
rust-pass,compiler,assignmentCompatability2.ts,,
rust-pass,compiler,assignmentCompatability20.ts,,
rust-pass,compiler,assignmentCompatability21.ts,,
rust-pass,compiler,assignmentCompatability22.ts,,
rust-pass,compiler,assignmentCompatability23.ts,,
rust-pass,compiler,assignmentCompatability24.ts,,
rust-pass,compiler,assignmentCompatability25.ts,,
rust-pass,compiler,assignmentCompatability26.ts,,
rust-pass,compiler,assignmentCompatability27.ts,,
rust-pass,compiler,assignmentCompatability28.ts,,
rust-pass,compiler,assignmentCompatability29.ts,,
rust-pass,compiler,assignmentCompatability3.ts,,
rust-pass,compiler,assignmentCompatability30.ts,,
rust-pass,compiler,assignmentCompatability31.ts,,
rust-pass,compiler,assignmentCompatability32.ts,,
rust-pass,compiler,assignmentCompatability33.ts,,
rust-pass,compiler,assignmentCompatability34.ts,,
rust-diff,compiler,assignmentCompatability35.ts,,
rust-pass,compiler,assignmentCompatability36.ts,,
rust-pass,compiler,assignmentCompatability37.ts,,
rust-pass,compiler,assignmentCompatability38.ts,,
rust-diff,compiler,assignmentCompatability39.ts,,
rust-pass,compiler,assignmentCompatability4.ts,,
rust-diff,compiler,assignmentCompatability40.ts,,
rust-diff,compiler,assignmentCompatability41.ts,,
rust-diff,compiler,assignmentCompatability42.ts,,
rust-pass,compiler,assignmentCompatability43.ts,,
rust-diff,compiler,assignmentCompatability44.ts,,
rust-diff,compiler,assignmentCompatability45.ts,,
rust-pass,compiler,assignmentCompatability46.ts,,
rust-pass,compiler,assignmentCompatability5.ts,,
rust-pass,compiler,assignmentCompatability6.ts,,
rust-pass,compiler,assignmentCompatability7.ts,,
rust-diff,compiler,assignmentCompatability8.ts,,
rust-pass,compiler,assignmentCompatability9.ts,,
rust-diff,compiler,assignmentCompatability_checking-apply-member-off-of-function-interface.ts,,
rust-diff,compiler,assignmentCompatability_checking-call-member-off-of-function-interface.ts,,
rust-pass,compiler,assignmentCompatibilityForConstrainedTypeParameters.ts,,
rust-pass,compiler,assignmentIndexedToPrimitives.ts,,
rust-pass,compiler,assignmentNestedInLiterals.ts,,
rust-pass,compiler,assignmentNonObjectTypeConstraints.ts,,
rust-pass,compiler,assignmentRestElementWithErrorSourceType.ts,,
rust-diff,compiler,assignmentStricterConstraints.ts,,
rust-diff,compiler,assignmentToAnyArrayRestParameters.ts,,
rust-pass,compiler,assignmentToConditionalBrandedStringTemplateOrMapping.ts,,
rust-pass,compiler,assignmentToExpandingArrayType.ts,,
rust-pass,compiler,assignmentToFunction.ts,,
rust-diff,compiler,assignmentToInstantiationExpression.ts,,
rust-diff,compiler,assignmentToObject.ts,,
rust-diff,compiler,assignmentToObjectAndFunction.ts,,
rust-pass,compiler,assignmentToParenthesizedExpression1.ts,,
rust-pass,compiler,assignmentToReferenceTypes.ts,,
rust-skip,compiler,asyncArrowInClassES5.ts,target=es5,unrecognized option(s): noemithelpers
rust-skip,compiler,asyncArrowInClassES5.ts,target=es2015,unrecognized option(s): noemithelpers
rust-skip,compiler,asyncAwaitWithCapturedBlockScopeVar.ts,target=es5,unrecognized option(s): noemithelpers
rust-skip,compiler,asyncAwaitWithCapturedBlockScopeVar.ts,target=es2015,unrecognized option(s): noemithelpers
rust-diff,compiler,asyncFunctionContextuallyTypedReturns.ts,,
rust-skip,compiler,asyncFunctionNoReturnType.ts,,unrecognized option(s): noimplicitreturns
rust-pass,compiler,asyncFunctionReturnExpressionErrorSpans.ts,,
rust-pass,compiler,asyncFunctionReturnType.2.ts,,
rust-diff,compiler,asyncFunctionReturnType.ts,,
rust-skip,compiler,asyncFunctionTempVariableScoping.ts,target=es5,target=ES5 (ES5 down-level) not supported
rust-pass,compiler,asyncFunctionTempVariableScoping.ts,target=es2015,
rust-pass,compiler,asyncFunctionWithForStatementNoInitializer.ts,,
rust-pass,compiler,asyncFunctionsAcrossFiles.ts,,
rust-pass,compiler,asyncFunctionsAndStrictNullChecks.ts,,
rust-pass,compiler,asyncIIFE.ts,,
rust-pass,compiler,asyncImportNestedYield.ts,,
rust-diff,compiler,asyncIteratorExtraParameters.ts,,
rust-diff,compiler,asyncYieldStarContextualType.ts,,
rust-pass,compiler,augmentArray.ts,,
rust-diff,compiler,augmentExportEquals1.ts,,
rust-skip,compiler,augmentExportEquals1_1.ts,,module=AMD not supported
rust-diff,compiler,augmentExportEquals2.ts,,
rust-skip,compiler,augmentExportEquals2_1.ts,,module=AMD not supported
rust-diff,compiler,augmentExportEquals3.ts,,
rust-skip,compiler,augmentExportEquals3_1.ts,,module=AMD not supported
rust-diff,compiler,augmentExportEquals4.ts,,
rust-skip,compiler,augmentExportEquals4_1.ts,,module=AMD not supported
rust-diff,compiler,augmentExportEquals5.ts,,
rust-diff,compiler,augmentExportEquals6.ts,,
rust-skip,compiler,augmentExportEquals6_1.ts,,module=AMD not supported
rust-diff,compiler,augmentExportEquals7.ts,,
rust-pass,compiler,augmentedClassWithPrototypePropertyOnModule.ts,,
rust-pass,compiler,augmentedTypeBracketNamedPropertyAccess.ts,,
rust-pass,compiler,augmentedTypesClass.ts,,
rust-pass,compiler,augmentedTypesClass2.ts,,
rust-pass,compiler,augmentedTypesClass2a.ts,,
rust-pass,compiler,augmentedTypesClass3.ts,,
rust-pass,compiler,augmentedTypesClass4.ts,,
rust-pass,compiler,augmentedTypesEnum.ts,,
rust-pass,compiler,augmentedTypesEnum2.ts,,
rust-pass,compiler,augmentedTypesEnum3.ts,,
